Counts,Names
27,Alekhine Defense
1,Anderssen Opening
17,Benko Gambit
40,Benoni Defense
5,Bird Opening
11,Bishop's Opening
6,Blackmar-Diemer Gambit
4,Blumenfeld Countergambit
6,Bogo-Indian Defense
6,Budapest Defense
62,Caro-Kann Defense
13,Catalan Opening
4,Center Game
1,Clemenz Opening
3,Colle System
1,Czech Defense
2,Danish Gambit
43,Dutch Defense
3,Elephant Gambit
2,English Defense
103,English Opening
2,Englund Gambit Complex
1,Englund Gambit
24,Four Knights Game
118,French Defense
4,Grob Opening
44,Gruenfeld Defense
1,Gunderam Defense
1,Horwitz Defense
8,Hungarian Opening
1,Indian Game Defense
26,Indian Game
57,Italian Game
1,Kadas Opening
2,Kangaroo Defense
7,King Pawn Game
33,King's Gambit
12,King's Indian Attack
92,King's Indian Defense
2,King's Knight Opening
1,King's Pawn Opening
6,Latvian Gambit
4,Lion Defense
1,London System
1,Mexican Defense
2,Mieses Opening
2,Mikenas Defense
23,Modern Defense
12,Neo-Gruenfeld Defense
2,Neo-Grünfeld Defense
66,Nimzo-Indian Defense
7,Nimzo-Larsen Attack
16,Nimzowitsch Defense
1,Nimzowitsch-Larsen Attack
8,Old Indian Defense
3,Old Indian
1,Owen Defense
21,Philidor Defense
23,Pirc Defense
1,Polish Defense
11,Polish Opening
5,Ponziani Opening
1,Portuguese Opening
8,Pterodactyl Defense
34,Queen Pawn Game
1,Queen Pawn Opening
37,Queen's Gambit Accepted
74,Queen's Gambit Declined
21,Queen's Gambit Refused
41,Queen's Indian Defense
6,Rat Defense
14,Reti Opening
3,Rubinstein Opening
26,Russian Game
1,Saragossa Opening
22,Scandinavian Defense
26,Scotch Game
40,Semi-Slav Defense
264,Sicilian Defense
37,Slav Defense
1,Slav Indian
128,Spanish Game
3,St. George Defense
1,System
17,Tarrasch Defense
3,Three Knights Opening
5,Torre Attack
6,Trompowsky Attack
5,Van Geet Opening
1,Van't Kruijs Opening
21,Vienna Game
1,Wade Defense
22,Zukertort Opening
