Counts,Names
264,Sicilian Defense
128,Spanish Game
118,French Defense
103,English Opening
92,King's Indian Defense
74,Queen's Gambit Declined
66,Nimzo-Indian Defense
62,Caro-Kann Defense
57,Italian Game
44,Gruenfeld Defense
43,Dutch Defense
41,Queen's Indian Defense
40,Semi-Slav Defense
40,Benoni Defense
37,Slav Defense
37,Queen's Gambit Accepted
34,Queen Pawn Game
33,King's Gambit
27,Alekhine Defense
26,Scotch Game
26,Russian Game
26,Indian Game
24,Four Knights Game
23,Pirc Defense
23,Modern Defense
22,Zukertort Opening
22,Scandinavian Defense
21,Vienna Game
21,Queen's Gambit Refused
21,Philidor Defense
17,Tarrasch Defense
17,Benko Gambit
16,Nimzowitsch Defense
14,Reti Opening
13,Catalan Opening
12,Neo-Gruenfeld Defense
12,King's Indian Attack
11,Polish Opening
11,Bishop's Opening
8,Pterodactyl Defense
8,Old Indian Defense
8,Hungarian Opening
7,Nimzo-Larsen Attack
7,King Pawn Game
6,Trompowsky Attack
6,Rat Defense
6,Latvian Gambit
6,Budapest Defense
6,Bogo-Indian Defense
6,Blackmar-Diemer Gambit
5,Van Geet Opening
5,Torre Attack
5,Ponziani Opening
5,Bird Opening
4,Lion Defense
4,Grob Opening
4,Center Game
4,Blumenfeld Countergambit
3,Three Knights Opening
3,St. George Defense
3,Rubinstein Opening
3,Old Indian
3,Elephant Gambit
3,Colle System
2,Neo-Grünfeld Defense
2,Mikenas Defense
2,Mieses Opening
2,King's Knight Opening
2,Kangaroo Defense
2,Englund Gambit Complex
2,English Defense
2,Danish Gambit
1,Wade Defense
1,Van't Kruijs Opening
1,System
1,Slav Indian
1,Saragossa Opening
1,Queen Pawn Opening
1,Portuguese Opening
1,Polish Defense
1,Owen Defense
1,Nimzowitsch-Larsen Attack
1,Mexican Defense
1,London System
1,King's Pawn Opening
1,Kadas Opening
1,Indian Game Defense
1,Horwitz Defense
1,Gunderam Defense
1,Englund Gambit
1,Czech Defense
1,Clemenz Opening
1,Anderssen Opening
